2023/03/10 17:40:26 main.go:19: Старт программы
2023/03/10 17:40:27 main.go:36: Отмена обновления валюты в БД
2023/03/10 17:40:29 main.go:46: Ищем профессию `Спасатель МЧС`
2023/03/10 17:40:30 main.go:73: Ведем поиск профессии в  10 городах одновременно
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Горно-Алтайск | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Екатеринбург | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Барнаул | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Москва | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Астрахань | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Санкт-Петербург | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Архангельск | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Новосибирск | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Белгород | Найдено: 0
2023/03/10 17:40:31 search.go:22: Профессия: спасатель мчс | Город: Майкоп | Найдено: 0
2023/03/10 17:40:32 search.go:22: Профессия: спасатель мчс | Город: Магас | Найдено: 0
2023/03/10 17:40:32 search.go:22: Профессия: спасатель мчс | Город: Махачкала | Найдено: 0
2023/03/10 17:40:32 search.go:22: Профессия: спасатель мчс | Город: Вологда | Найдено: 0
2023/03/10 17:40:32 search.go:22: Профессия: спасатель мчс | Город: Владимир | Найдено: 0
2023/03/10 17:40:32 search.go:22: Профессия: спасатель мчс | Город: Брянск | Найдено: 0
2023/03/10 17:40:32 search.go:22: Профессия: спасатель мчс | Город: Воронеж | Найдено: 0
2023/03/10 17:40:32 search.go:22: Профессия: спасатель мчс | Город: Биробиджан | Найдено: 0
2023/03/10 17:40:33 search.go:22: Профессия: спасатель мчс | Город: Владивосток | Найдено: 0
2023/03/10 17:40:33 search.go:22: Профессия: спасатель мчс | Город: Улан-Удэ | Найдено: 0
2023/03/10 17:40:33 search.go:22: Профессия: спасатель мчс | Город: Волгоград | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Кемерово | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Калуга | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Сыктывкар | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Калининград | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Нальчик | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Черкесск | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Элиста | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Иркутск | Найдено: 0
2023/03/10 17:40:34 search.go:22: Профессия: спасатель мчс | Город: Петропавловск-Камчатский | Найдено: 0
2023/03/10 17:40:35 search.go:22: Профессия: спасатель мчс | Город: Кострома | Найдено: 0
